RBD,NOM_RBD,COD_COM_RBD,NOM_COM_RBD,COD_DEPE,LATITUD,LONGITUD,RURAL_RBD,PAGO_MENSUAL,MAT_TOTAL,CUR_SIM_TOT,DC_TOT,ratio_alumno_docente,ratio_alumno_curso,categoria_dependencia,TIPO_PAGO,PAGO_MENSUAL_NORM,orden_precio,SIMCE_4B_LECT,SIMCE_4B_MATE,SIMCE_4B_AVG,SIMCE_2M_LECT,SIMCE_2M_MATE,SIMCE_2M_AVG
8497,LICEO GABRIELA MISTRAL,13108,INDEPENDENCIA,2,-33.4160467,-70.65675624,0,GRATUITO,1105,32,73.0,15.136986301369863,34.53125,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,298.0,272.0,285.0,244.0,242.0,243.0
8498,LICEO DARIO SALAS,13101,SANTIAGO,2,-33.455643,-70.66915552,0,GRATUITO,1288,43,98.0,13.142857142857142,29.953488372093023,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,253.0,234.0,243.5,224.0,215.0,219.5
8499,INTERNADO NACIONAL BARROS ARANA,13101,SANTIAGO,2,-33.4388735,-70.68307302,0,GRATUITO,811,33,101.0,8.029702970297029,24.575757575757574,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,,,,260.0,246.0,253.0
8500,LICEO INDUSTRIAL ELIODORO GARCIA ZEGERS,13101,SANTIAGO,2,-33.43735876,-70.66281847,0,GRATUITO,701,24,69.0,10.159420289855072,29.208333333333332,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,,,,210.0,223.0,216.5
8501,LICEO POLITEC. PDTE. GABRIEL GONZALEZ VIDELA,13101,SANTIAGO,2,-33.45007738,-70.63732245,0,GRATUITO,566,22,53.0,10.679245283018869,25.727272727272727,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,,,,227.0,250.0,238.5
8502,LICEO COMERCIAL LUIS CORREA PRIETO,13127,RECOLETA,5,-33.42213647,-70.64351607,0,GRATUITO,638,18,30.0,21.266666666666666,35.44444444444444,ADMIN_DELEGADA,Gratuito,GRATUITO,0,,,,235.0,239.0,237.0
8503,INST.SUP.DE COMERCIO EDUARDO FREI M.,13101,SANTIAGO,2,-33.44209714,-70.65630131,0,GRATUITO,1250,36,70.0,17.857142857142858,34.72222222222222,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,,,,229.0,234.0,231.5
8504,LICEO TECNICO A N° 27 CLELIA CLAVEL DINAT,13101,SANTIAGO,5,-33.44304696999999,-70.67052414,0,GRATUITO,712,20,32.0,22.25,35.6,ADMIN_DELEGADA,Gratuito,GRATUITO,0,,,,231.0,217.0,224.0
8505,LICEO POLIVALENTE A-28 EMILIA TORO DE BAL,13101,SANTIAGO,5,-33.44102148999999,-70.67965152,0,GRATUITO,754,31,46.0,16.391304347826086,24.322580645161292,ADMIN_DELEGADA,Gratuito,GRATUITO,0,,,,243.0,266.0,254.5
8506,INSTITUTO COMERCIAL ELIODORO DOMINGUEZ DOMINGUEZ,13101,SANTIAGO,5,-33.43851658,-70.67837947,0,GRATUITO,912,24,35.0,26.057142857142857,38.0,ADMIN_DELEGADA,Gratuito,GRATUITO,0,,,,242.0,244.0,243.0
8507,LICEO COMERCIAL JOAQUIN VERA MORALES,13101,SANTIAGO,5,-33.45549342,-70.66865263,0,GRATUITO,1083,34,46.0,23.543478260869566,31.852941176470587,ADMIN_DELEGADA,Gratuito,GRATUITO,0,,,,251.0,276.0,263.5
8508,LICEO POLIVALENTE JUAN A.RIOS,13126,QUINTA NORMAL,2,-33.43160765999999,-70.68697808,0,GRATUITO,451,14,30.0,15.033333333333333,32.214285714285715,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,,,,234.0,233.0,233.5
8510,LICEO PAULA JARAQUEMADA,13127,RECOLETA,2,-33.42596186,-70.64693479,0,GRATUITO,375,12,39.0,9.615384615384615,31.25,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,,,,252.0,241.0,246.5
8511,LICEO EXPERIMENTAL ARTISTICO B-65,13119,MAIPU,5,-33.43229408,-70.68769941,0,GRATUITO,584,20,74.0,7.891891891891892,29.2,ADMIN_DELEGADA,Gratuito,GRATUITO,0,287.0,247.0,267.0,239.0,206.0,222.5
8513,ESC. BAS. REPUBLICA ORIENTAL DE URUGUAY,13101,SANTIAGO,2,-33.44986649,-70.64029999,0,GRATUITO,661,20,49.0,13.489795918367347,33.05,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,261.0,238.0,249.5,,,
8514,LICEO MULTIGENERO DOCTORA ELOISA DIAZ INZUNZA,13108,INDEPENDENCIA,2,-33.40979197,-70.66251778,0,GRATUITO,1110,32,72.0,15.416666666666666,34.6875,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,260.0,230.0,245.0,240.0,224.0,232.0
8515,ESCUELA BASICA CORNELIA OLIVARES,13108,INDEPENDENCIA,2,-33.42314179,-70.65681424,0,GRATUITO,307,9,23.0,13.347826086956522,34.111111111111114,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,285.0,290.0,287.5,,,
8518,LICEO ESTACION CENTRAL,13106,ESTACION CENTRAL,2,-33.45660624,-70.69843202,0,GRATUITO,660,20,57.0,11.578947368421053,33.0,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,254.0,224.0,239.0,236.0,209.0,222.5
8519,ESCUELA BASICA PEDRO AGUIRRE CERDA,13102,CERRILLOS,2,-33.48183895999999,-70.69316402,0,GRATUITO,335,10,29.0,11.551724137931034,33.5,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,257.0,229.0,243.0,,,
8520,ESCUELA BASICA PROVINCIA DE CHILOE,13101,SANTIAGO,2,-33.47074552,-70.67136899,0,GRATUITO,561,19,46.0,12.195652173913043,29.526315789473685,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,273.0,244.0,258.5,,,
8521,ESCUELA CARLOS CONDELL DE LA HAZA,13106,ESTACION CENTRAL,2,-33.46146352,-70.70038386,0,GRATUITO,988,30,60.0,16.466666666666665,32.93333333333333,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,286.0,283.0,284.5,,,
8522,ESCUELA BASICA REPUBLICA DE COLOMBIA,13101,SANTIAGO,2,-33.45423061,-70.67438866,0,GRATUITO,676,19,44.0,15.363636363636363,35.578947368421055,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,258.0,249.0,253.5,,,
8523,ESCUELA BASICA REPUBLICA DE PANAMA,13101,SANTIAGO,2,-33.44242110999999,-70.67800391,0,GRATUITO,368,10,27.0,13.62962962962963,36.8,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,255.0,231.0,243.0,,,
8529,ESCUELA DE PARVULOS ANTU-HUILEN,13108,INDEPENDENCIA,2,-33.422047,-70.66598,0,GRATUITO,332,12,29.0,11.448275862068966,27.666666666666668,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,,,,,,
8530,ESCUELA CADETE ARTURO PRAT CHACON,13101,SANTIAGO,2,-33.44870941,-70.65670874,0,GRATUITO,843,24,64.0,13.171875,35.125,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,270.0,255.0,262.5,,,
8531,ESCUELA BASICA IRENE FREI DE CID,13101,SANTIAGO,2,-33.46779187,-70.644024,0,GRATUITO,565,19,52.0,10.865384615384615,29.736842105263158,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,252.0,233.0,242.5,,,
8532,ESCUELA BASICA LIBERTADORES DE CHILE,13101,SANTIAGO,2,-33.4359531,-70.66203467,0,GRATUITO,375,13,32.0,11.71875,28.846153846153847,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,264.0,239.0,251.5,,,
8533,ESCUELA BASICA BENJAMIN VICUNA MACKENNA,13101,SANTIAGO,2,-33.44976157,-70.63183657,0,GRATUITO,608,20,53.0,11.471698113207546,30.4,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,274.0,233.0,253.5,,,
8535,LICEO REPUBLICA DE BRASIL,13101,SANTIAGO,2,-33.47205853,-70.65926219,0,GRATUITO,487,14,40.0,12.175,34.785714285714285,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,245.0,257.0,251.0,237.0,230.0,233.5
8536,ESCUELA REPUBLICA DE ISRAEL,13101,SANTIAGO,2,-33.43965974,-70.67474682,0,GRATUITO,583,20,53.0,11.0,29.15,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,287.0,256.0,271.5,,,
8537,ESCUELA ARNALDO FALABELLA,13106,ESTACION CENTRAL,2,-33.45858943,-70.69222383,0,GRATUITO,700,20,50.0,14.0,35.0,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,286.0,246.0,266.0,,,
8540,ESCUELA BASICA REPUBLICA DE HAITI,13101,SANTIAGO,2,-33.47471332,-70.65160842,0,GRATUITO,252,10,26.0,9.692307692307692,25.2,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,265.0,269.0,267.0,,,
8541,LICEO DE ADULTOS HERBERT VARGAS WALLIS,13101,SANTIAGO,2,-33.473263,-70.65968,0,GRATUITO,776,33,43.0,18.046511627906977,23.515151515151516,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,,,,,,
8542,LICEO SAN FRANCISCO DE QUITO,13108,INDEPENDENCIA,2,-33.41036924,-70.66255379,0,GRATUITO,1020,26,59.0,17.28813559322034,39.23076923076923,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,278.0,266.0,272.0,241.0,224.0,232.5
8544,ESCUELA BÁSICA ARTURO ALESSANDRI PALMA,13106,ESTACION CENTRAL,2,-33.45601648,-70.69874984,0,GRATUITO,891,30,65.0,13.707692307692307,29.7,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,279.0,242.0,260.5,,,
8546,ESC.BAS.BILINGUE REPUBLICA DEL PARAGUAY,13127,RECOLETA,2,-33.42700918,-70.64669818,0,GRATUITO,1292,30,75.0,17.226666666666667,43.06666666666667,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,266.0,255.0,260.5,,,
8547,ESCUELA NUEVA ZELANDIA,13108,INDEPENDENCIA,2,-33.42201846999999,-70.67178326,0,GRATUITO,374,10,31.0,12.064516129032258,37.4,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,266.0,259.0,262.5,,,
8548,ESCUELA BASICA DR LUIS CALVO MACKENNA,13101,SANTIAGO,2,-33.43577602,-70.66869441,0,GRATUITO,641,18,45.0,14.244444444444444,35.611111111111114,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,252.0,249.0,250.5,,,
8549,ESCUELA FERNANDO ALESSANDRI RODRIGUEZ,13101,SANTIAGO,2,-33.45677263999999,-70.65366284,0,GRATUITO,391,10,26.0,15.038461538461538,39.1,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,262.0,233.0,247.5,,,
8552,ESCUELA BAS SALVADOR SANFUENTES REP EEUU,13101,SANTIAGO,2,-33.44035234999999,-70.67931406,0,GRATUITO,947,38,86.0,11.011627906976743,24.92105263157895,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,270.0,242.0,256.0,,,
8553,ESCUELA DE ADULTOS  JORGE ALESSANDRI R.,13127,RECOLETA,2,-33.42455,-70.64515,0,GRATUITO,839,27,44.0,19.068181818181817,31.074074074074073,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,,,,,,
8554,LICEO MUNICIPAL METROPOLITANO DE ADULTOS,13101,SANTIAGO,2,-33.469337,-70.64488,0,GRATUITO,282,16,30.0,9.4,17.625,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,,,,,,
8555,ESCUELA REPUBLICA EL LIBANO,13101,SANTIAGO,2,-33.45570717999999,-70.65809855,0,GRATUITO,260,8,31.0,8.387096774193548,32.5,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,278.0,251.0,264.5,,,
8556,ESCUELA REPUBLICA DE AUSTRIA,13106,ESTACION CENTRAL,2,-33.47529212,-70.6949904,0,GRATUITO,623,19,41.0,15.195121951219512,32.78947368421053,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,247.0,243.0,245.0,,,
8558,ESCUELA BÁSICA HUMBERTO VALENZUELA GARCÍA,13106,ESTACION CENTRAL,2,-33.47151519,-70.69187992,0,GRATUITO,516,18,43.0,12.0,28.666666666666668,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,250.0,255.0,252.5,,,
8561,ESCUELA REPUBLICA DE ALEMANIA,13101,SANTIAGO,2,-33.43146413,-70.67549745,0,GRATUITO,339,10,30.0,11.3,33.9,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,250.0,245.0,247.5,,,
8562,CIUDAD SANTIAGO DE CHILE,13101,SANTIAGO,2,-33.46092709,-70.64804215,0,GRATUITO,306,12,38.0,8.052631578947368,25.5,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,260.0,241.0,250.5,,,
8563,ESCUELA BASICA REPUBLICA DE MEXICO,13101,SANTIAGO,2,-33.44957134,-70.63669304,0,GRATUITO,638,19,46.0,13.869565217391305,33.578947368421055,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,257.0,241.0,249.0,,,
8564,ESCUELA BASICA REINO DE NORUEGA,13126,QUINTA NORMAL,2,-33.43227444,-70.68794874,0,GRATUITO,518,16,31.0,16.70967741935484,32.375,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,286.0,273.0,279.5,,,
8569,ESCUELA BASICA REPUBLICA DEL ECUADOR,13101,SANTIAGO,2,-33.44896938,-70.67072409,0,GRATUITO,547,21,51.0,10.72549019607843,26.047619047619047,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,268.0,240.0,254.0,,,
8571,LICEO DR HUMBERTO MATURANA ROMESIN,13101,SANTIAGO,2,-33.46010060999999,-70.64492294,0,GRATUITO,14,3,12.0,1.1666666666666667,4.666666666666667,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,,,,,,
8572,ESCUELA BASICA CAMILO MORI,13108,INDEPENDENCIA,2,-33.42456726,-70.66693364,0,GRATUITO,301,9,21.0,14.333333333333334,33.44444444444444,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,273.0,259.0,266.0,,,
8576,ESCUELA BASICA REYES CATOLICOS,13101,SANTIAGO,2,-33.46795786,-70.62786296,0,GRATUITO,259,10,29.0,8.931034482758621,25.9,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,278.0,243.0,260.5,,,
8579,ESCUELA BASICA UNION LATINOAMERICANA,13106,ESTACION CENTRAL,2,-33.46348143,-70.6917367,0,GRATUITO,349,10,27.0,12.925925925925926,34.9,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,293.0,300.0,296.5,,,
8581,ESCUELA BÁSICA F Nº 64,13101,SANTIAGO,2,-33.46615535,-70.65276247,0,GRATUITO,297,10,35.0,8.485714285714286,29.7,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,277.0,264.0,270.5,,,
8585,ESC. CENTRO DE CAPACITACION LABORAL SANTIAGO,13101,SANTIAGO,2,-33.45429,-70.66036,0,GRATUITO,71,7,18.0,3.9444444444444446,10.142857142857142,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,,,,,,
8586,ESCUELA DIFERENCIAL JUAN SANDOVAL C,13101,SANTIAGO,2,-33.47032,-70.65161,0,GRATUITO,250,32,46.0,5.434782608695652,7.8125,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,,,,,,
8587,LICEO DE ADULTOS MUNICIPALIZADO LUIS GOMEZ CATALAN,13106,ESTACION CENTRAL,2,-33.455536,-70.69752,0,GRATUITO,528,18,33.0,16.0,29.333333333333332,MUNICIPAL_DAEM,Gratuito,GRATUITO,0,,,,,,
8589,LICEO MIGUEL RAFAEL PRADO,13108,INDEPENDENCIA,3,-33.42140808,-70.66238091,0,GRATUITO,1855,42,87.0,21.32183908045977,44.166666666666664,PARTICULAR_SUBV,Gratuito,GRATUITO,0,283.0,272.0,277.5,269.0,258.0,263.5
8592,LICEO JOSE MIGUEL INFANTE,13101,SANTIAGO,3,-33.43322191,-70.66402874,0,$50.001 A $100.000,959,23,42.0,22.833333333333332,41.69565217391305,PARTICULAR_SUBV,Pagado,$50.001 A $100.000,4,266.0,248.0,257.0,281.0,277.0,279.0
8598,COLEGIO ALTO PALENA,13101,SANTIAGO,3,-33.44563938,-70.67614969,0,$50.001 A $100.000,406,11,23.0,17.652173913043477,36.90909090909091,PARTICULAR_SUBV,Pagado,$50.001 A $100.000,4,,,,248.0,262.0,255.0
8601,COLEGIO WUNMAN,13101,SANTIAGO,3,-33.44868,-70.63706,0,$50.001 A $100.000,111,4,12.0,9.25,27.75,PARTICULAR_SUBV,Pagado,$50.001 A $100.000,4,,,,274.0,288.0,281.0
8603,CENTRO EDUCATIVO SALESIANOS ALAMEDA,13101,SANTIAGO,3,-33.44704549,-70.66787974,0,$50.001 A $100.000,1757,44,99.0,17.747474747474747,39.93181818181818,PARTICULAR_SUBV,Pagado,$50.001 A $100.000,4,,,,245.0,291.0,268.0
8604,COLEGIO SANTA CRUZ,13101,SANTIAGO,3,-33.46341747,-70.65124299,0,$50.001 A $100.000,976,26,58.0,16.82758620689655,37.53846153846154,PARTICULAR_SUBV,Pagado,$50.001 A $100.000,4,286.0,268.0,277.0,273.0,294.0,283.5
8609,COLEGIO SAN IGNACIO,13101,SANTIAGO,4,-33.447065,-70.65616,0,MAS DE $100.000,1484,44,102.0,14.549019607843137,33.72727272727273,PARTICULAR_PAGADO,Pagado,MAS DE $100.000,5,311.0,299.0,305.0,291.0,328.0,309.5
8611,COLEGIO NUESTRA SENORA DE ANDACOLLO,13101,SANTIAGO,3,-33.43189241,-70.66987309,0,$50.001 A $100.000,1131,26,60.0,18.85,43.5,PARTICULAR_SUBV,Pagado,$50.001 A $100.000,4,289.0,273.0,281.0,257.0,303.0,280.0
8613,COLEGIO FRANCISCANO MARIA REINA,13106,ESTACION CENTRAL,3,-33.45594954,-70.68375539,0,$50.001 A $100.000,448,12,25.0,17.92,37.333333333333336,PARTICULAR_SUBV,Pagado,$50.001 A $100.000,4,285.0,252.0,268.5,275.0,257.0,266.0
8614,COLEGIO MARIA TERESA CANCINO AGUILAR,13127,RECOLETA,3,-33.41236812999999,-70.63803656,0,$50.001 A $100.000,1079,28,79.0,13.658227848101266,38.535714285714285,PARTICULAR_SUBV,Pagado,$50.001 A $100.000,4,270.0,243.0,256.5,268.0,258.0,263.0
8616,COLEGIO POLIVALENTE PLUS ULTRA,13108,INDEPENDENCIA,3,-33.42078067,-70.65681068,0,GRATUITO,1023,27,42.0,24.357142857142858,37.888888888888886,PARTICULAR_SUBV,Gratuito,GRATUITO,0,,,,279.0,276.0,277.5
8617,LICEO POLIT. SARA BLINDER DARGOLTZ,13101,SANTIAGO,3,-33.46780934,-70.64853307,0,GRATUITO,750,20,47.0,15.957446808510639,37.5,PARTICULAR_SUBV,Gratuito,GRATUITO,0,,,,254.0,235.0,244.5
8620,COLEGIO SAN SEBASTIAN,13101,SANTIAGO,3,-33.43779253999999,-70.66559409,0,$25.001 A $50.000,443,13,25.0,17.72,34.07692307692308,PARTICULAR_SUBV,Pagado,$25.001 A $50.000,3,297.0,250.0,273.5,252.0,245.0,248.5
8623,ESC. BAS. PART. TERESIANA DE SAN GABRIEL,13108,INDEPENDENCIA,3,-33.42554021,-70.65523248,0,GRATUITO,330,8,20.0,16.5,41.25,PARTICULAR_SUBV,Gratuito,GRATUITO,0,265.0,245.0,255.0,,,
8625,CENTRO EDUC. CASA TALLERES SAN VICENTE DE PAU,13101,SANTIAGO,3,-33.45669764,-70.6772688,0,GRATUITO,968,25,47.0,20.595744680851062,38.72,PARTICULAR_SUBV,Gratuito,GRATUITO,0,273.0,257.0,265.0,229.0,239.0,234.0
8627,COLEGIO SANTA MARIA DE SANTIAGO,13101,SANTIAGO,3,-33.45235006,-70.64425534,0,$50.001 A $100.000,1975,56,99.0,19.949494949494948,35.267857142857146,PARTICULAR_SUBV,Pagado,$50.001 A $100.000,4,295.0,278.0,286.5,264.0,267.0,265.5
8629,COLEGIO POLITÉCNICO SANTA ANA,13126,QUINTA NORMAL,3,-33.43739888,-70.68771172,0,GRATUITO,1048,26,59.0,17.76271186440678,40.30769230769231,PARTICULAR_SUBV,Gratuito,GRATUITO,0,292.0,245.0,268.5,256.0,272.0,264.0
8631,COLEGIO ECHAURREN,13106,ESTACION CENTRAL,3,-33.47507572,-70.71677679,0,GRATUITO,748,25,51.0,14.666666666666666,29.92,PARTICULAR_SUBV,Gratuito,GRATUITO,0,277.0,244.0,260.5,241.0,218.0,229.5
8632,LICEO POLIVALENTE SANTA JULIANA,13127,RECOLETA,3,-33.40708328,-70.64873606,0,GRATUITO,1560,41,76.0,20.526315789473685,38.048780487804876,PARTICULAR_SUBV,Gratuito,GRATUITO,0,266.0,243.0,254.5,239.0,249.0,244.0
8634,LICEO RUIZ TAGLE,13106,ESTACION CENTRAL,3,-33.45159121999999,-70.68899863,0,$50.001 A $100.000,999,28,61.0,16.37704918032787,35.67857142857143,PARTICULAR_SUBV,Pagado,$50.001 A $100.000,4,282.0,306.0,294.0,280.0,286.0,283.0
8636,LICEO LEONARDO MURIALDO,13127,RECOLETA,3,-33.43021573,-70.64040626,0,$25.001 A $50.000,1609,36,78.0,20.628205128205128,44.69444444444444,PARTICULAR_SUBV,Pagado,$25.001 A $50.000,3,273.0,253.0,263.0,270.0,265.0,267.5
8639,LICEO Y COLEGIO NUEVO HISPANO CHILENO,13101,SANTIAGO,3,-33.44066566,-70.67098244,0,$50.001 A $100.000,445,16,31.0,14.35483870967742,27.8125,PARTICULAR_SUBV,Pagado,$50.001 A $100.000,4,296.0,274.0,285.0,258.0,281.0,269.5
8643,INSTITUTO COMERCIAL BLAS CANAS,13101,SANTIAGO,3,-33.44523916,-70.64268438,0,GRATUITO,841,24,42.0,20.023809523809526,35.041666666666664,PARTICULAR_SUBV,Gratuito,GRATUITO,0,,,,233.0,222.0,227.5
8644,COLEGIO INDUSTRIAL VASCO NUNEZ DE BALBOA,13101,SANTIAGO,3,-33.42468182999999,-70.65536483,0,$25.001 A $50.000,275,10,17.0,16.176470588235293,27.5,PARTICULAR_SUBV,Pagado,$25.001 A $50.000,3,,,,238.0,208.0,223.0
8645,LICEO JOSE DOMINGO CANAS,13125,QUILICURA,3,-33.36578778,-70.74235686,0,GRATUITO,1864,43,83.0,22.457831325301203,43.348837209302324,PARTICULAR_SUBV,Gratuito,GRATUITO,0,298.0,295.0,296.5,264.0,265.0,264.5
8649,COLEGIO LORENZO SAZIE,13101,SANTIAGO,3,-33.44961141999999,-70.66456751,0,GRATUITO,552,14,44.0,12.545454545454545,39.42857142857143,PARTICULAR_SUBV,Gratuito,GRATUITO,0,285.0,295.0,290.0,281.0,283.0,282.0
8650,COLEGIO SAN BENILDO,13127,RECOLETA,3,-33.40665113,-70.65270934,0,GRATUITO,351,8,24.0,14.625,43.875,PARTICULAR_SUBV,Gratuito,GRATUITO,0,,,,245.0,253.0,249.0
8652,COLEGIO SAN ANTONIO,13101,SANTIAGO,3,-33.43779818,-70.66923128,0,$50.001 A $100.000,995,25,52.0,19.134615384615383,39.8,PARTICULAR_SUBV,Pagado,$50.001 A $100.000,4,294.0,266.0,280.0,276.0,253.0,264.5
8654,COLEGIO POLITECNICO AVDA. INDEPENDENCIA,13108,INDEPENDENCIA,3,-33.409112,-70.65884264,0,$10.001 A $25.000,408,11,15.0,27.2,37.09090909090909,PARTICULAR_SUBV,Pagado,$10.001 A $25.000,2,,,,236.0,219.0,227.5
8657,COLEGIO SAN ALBERTO,13106,ESTACION CENTRAL,3,-33.47074650999999,-70.6918583,0,GRATUITO,961,26,63.0,15.253968253968255,36.96153846153846,PARTICULAR_SUBV,Gratuito,GRATUITO,0,259.0,253.0,256.0,211.0,243.0,227.0
8658,COLEGIO FRANCISCO ARRIARAN,13101,SANTIAGO,3,-33.45919087,-70.64887167,0,GRATUITO,1117,26,61.0,18.311475409836067,42.96153846153846,PARTICULAR_SUBV,Gratuito,GRATUITO,0,291.0,268.0,279.5,297.0,306.0,301.5
8659,ESCUELA PARTICULAR FRANCISCO ANDRES OLEA,13101,SANTIAGO,3,-33.45872278,-70.64651169,0,GRATUITO,691,16,46.0,15.021739130434783,43.1875,PARTICULAR_SUBV,Gratuito,GRATUITO,0,299.0,277.0,288.0,,,
8661,ESCUELA PARTICULAR GUILLERMO MATTA,13101,SANTIAGO,3,-33.46163013999999,-70.64299255,0,GRATUITO,857,20,55.0,15.581818181818182,42.85,PARTICULAR_SUBV,Gratuito,GRATUITO,0,299.0,286.0,292.5,,,
