RBD,NOM_RBD,COD_COM_RBD,NOM_COM_RBD,COD_DEPE,COD_DEPE2,LATITUD,LONGITUD,RURAL_RBD,PAGO_MENSUAL,MAT_TOTAL,CUR_SIM_TOT,DC_TOT,ratio_alumno_docente,ratio_alumno_curso,categoria_dependencia,PAGO_MENSUAL_NORM,orden_precio,simce_4b_lectura_2024,simce_4b_matematica_2024,simce_2m_lectura_2024,simce_2m_matematica_2024
8518,LICEO ESTACION CENTRAL,13106,ESTACION CENTRAL,2,1,"-33,456606240000000","-70,69843202000000",0,GRATUITO,660,20,57.0,11.578947368421051,33.0,MUNICIPAL_DAEM,GRATUITO,0,254.0,224.0,236.0,209.0
8519,ESCUELA BASICA PEDRO AGUIRRE CERDA,13102,CERRILLOS,2,1,"-33,481838959999990","-70,69316402000000",0,GRATUITO,335,10,29.0,11.551724137931034,33.5,MUNICIPAL_DAEM,GRATUITO,0,257.0,229.0,,
8520,ESCUELA BASICA PROVINCIA DE CHILOE,13101,SANTIAGO,2,1,"-33,470745520000000","-70,67136899000000",0,GRATUITO,561,19,46.0,12.195652173913045,29.526315789473685,MUNICIPAL_DAEM,GRATUITO,0,273.0,244.0,,
8521,ESCUELA CARLOS CONDELL DE LA HAZA,13106,ESTACION CENTRAL,2,1,"-33,461463520000000","-70,70038386000000",0,GRATUITO,988,30,60.0,16.466666666666665,32.93333333333333,MUNICIPAL_DAEM,GRATUITO,0,286.0,283.0,,
8522,ESCUELA BASICA REPUBLICA DE COLOMBIA,13101,SANTIAGO,2,1,"-33,454230610000000","-70,67438866000001",0,GRATUITO,676,19,44.0,15.363636363636363,35.578947368421055,MUNICIPAL_DAEM,GRATUITO,0,258.0,249.0,,
8523,ESCUELA BASICA REPUBLICA DE PANAMA,13101,SANTIAGO,2,1,"-33,442421109999990","-70,67800391000000",0,GRATUITO,368,10,27.0,13.62962962962963,36.8,MUNICIPAL_DAEM,GRATUITO,0,255.0,231.0,,
8529,ESCUELA DE PARVULOS ANTU-HUILEN,13108,INDEPENDENCIA,2,1,"-33,422047000000000","-70,66598000000000",0,GRATUITO,332,12,29.0,11.448275862068966,27.666666666666668,MUNICIPAL_DAEM,GRATUITO,0,,,,
8530,ESCUELA CADETE ARTURO PRAT CHACON,13101,SANTIAGO,2,1,"-33,448709410000000","-70,65670874000000",0,GRATUITO,843,24,64.0,13.171875,35.125,MUNICIPAL_DAEM,GRATUITO,0,270.0,255.0,,
8531,ESCUELA BASICA IRENE FREI DE CID,13101,SANTIAGO,2,1,"-33,467791870000000","-70,64402400000000",0,GRATUITO,565,19,52.0,10.865384615384617,29.73684210526316,MUNICIPAL_DAEM,GRATUITO,0,252.0,233.0,,
8532,ESCUELA BASICA LIBERTADORES DE CHILE,13101,SANTIAGO,2,1,"-33,435953100000000","-70,66203467000000",0,GRATUITO,375,13,32.0,11.71875,28.846153846153847,MUNICIPAL_DAEM,GRATUITO,0,264.0,239.0,,
8533,ESCUELA BASICA BENJAMIN VICUNA MACKENNA,13101,SANTIAGO,2,1,"-33,449761570000000","-70,63183657000000",0,GRATUITO,608,20,53.0,11.471698113207546,30.4,MUNICIPAL_DAEM,GRATUITO,0,274.0,233.0,,
8535,LICEO REPUBLICA DE BRASIL,13101,SANTIAGO,2,1,"-33,472058530000000","-70,65926219000001",0,GRATUITO,487,14,40.0,12.175,34.785714285714285,MUNICIPAL_DAEM,GRATUITO,0,245.0,257.0,237.0,230.0
8536,ESCUELA REPUBLICA DE ISRAEL,13101,SANTIAGO,2,1,"-33,439659740000000","-70,67474682000000",0,GRATUITO,583,20,53.0,11.0,29.15,MUNICIPAL_DAEM,GRATUITO,0,287.0,256.0,,
8537,ESCUELA ARNALDO FALABELLA,13106,ESTACION CENTRAL,2,1,"-33,458589430000000","-70,69222383000000",0,GRATUITO,700,20,50.0,14.0,35.0,MUNICIPAL_DAEM,GRATUITO,0,286.0,246.0,,
8540,ESCUELA BASICA REPUBLICA DE HAITI,13101,SANTIAGO,2,1,"-33,474713320000000","-70,65160842000000",0,GRATUITO,252,10,26.0,9.692307692307692,25.2,MUNICIPAL_DAEM,GRATUITO,0,265.0,269.0,,
8541,LICEO DE ADULTOS HERBERT VARGAS WALLIS,13101,SANTIAGO,2,1,"-33,473263000000000","-70,65967999999999",0,GRATUITO,776,33,43.0,18.046511627906977,23.51515151515152,MUNICIPAL_DAEM,GRATUITO,0,,,,
8542,LICEO SAN FRANCISCO DE QUITO,13108,INDEPENDENCIA,2,1,"-33,410369240000000","-70,66255379000000",0,GRATUITO,1020,26,59.0,17.28813559322034,39.23076923076923,MUNICIPAL_DAEM,GRATUITO,0,278.0,266.0,241.0,224.0
8544,ESCUELA BÁSICA ARTURO ALESSANDRI PALMA,13106,ESTACION CENTRAL,2,1,"-33,456016480000000","-70,69874984000000",0,GRATUITO,891,30,65.0,13.707692307692309,29.7,MUNICIPAL_DAEM,GRATUITO,0,279.0,242.0,,
8546,ESC.BAS.BILINGUE REPUBLICA DEL PARAGUAY,13127,RECOLETA,2,1,"-33,427009180000000","-70,64669818000000",0,GRATUITO,1292,30,75.0,17.226666666666667,43.06666666666667,MUNICIPAL_DAEM,GRATUITO,0,266.0,255.0,,
8547,ESCUELA NUEVA ZELANDIA,13108,INDEPENDENCIA,2,1,"-33,422018469999990","-70,67178326000000",0,GRATUITO,374,10,31.0,12.064516129032258,37.4,MUNICIPAL_DAEM,GRATUITO,0,266.0,259.0,,
8548,ESCUELA BASICA DR LUIS CALVO MACKENNA,13101,SANTIAGO,2,1,"-33,435776020000000","-70,66869441000000",0,GRATUITO,641,18,45.0,14.244444444444444,35.611111111111114,MUNICIPAL_DAEM,GRATUITO,0,252.0,249.0,,
8549,ESCUELA FERNANDO ALESSANDRI RODRIGUEZ,13101,SANTIAGO,2,1,"-33,456772639999990","-70,65366284000000",0,GRATUITO,391,10,26.0,15.038461538461538,39.1,MUNICIPAL_DAEM,GRATUITO,0,262.0,233.0,,
8552,ESCUELA BAS SALVADOR SANFUENTES REP EEUU,13101,SANTIAGO,2,1,"-33,440352349999990","-70,67931406000000",0,GRATUITO,947,38,86.0,11.011627906976743,24.92105263157895,MUNICIPAL_DAEM,GRATUITO,0,270.0,242.0,,
8553,ESCUELA DE ADULTOS  JORGE ALESSANDRI R.,13127,RECOLETA,2,1,"-33,424550000000000","-70,64515000000000",0,GRATUITO,839,27,44.0,19.068181818181817,31.074074074074076,MUNICIPAL_DAEM,GRATUITO,0,,,,
8554,LICEO MUNICIPAL METROPOLITANO DE ADULTOS,13101,SANTIAGO,2,1,"-33,469337000000000","-70,64488000000000",0,GRATUITO,282,16,30.0,9.4,17.625,MUNICIPAL_DAEM,GRATUITO,0,,,,
8555,ESCUELA REPUBLICA EL LIBANO,13101,SANTIAGO,2,1,"-33,455707179999990","-70,65809855000001",0,GRATUITO,260,8,31.0,8.387096774193548,32.5,MUNICIPAL_DAEM,GRATUITO,0,278.0,251.0,,
8556,ESCUELA REPUBLICA DE AUSTRIA,13106,ESTACION CENTRAL,2,1,"-33,475292120000000","-70,69499039999999",0,GRATUITO,623,19,41.0,15.195121951219512,32.78947368421053,MUNICIPAL_DAEM,GRATUITO,0,247.0,243.0,,
8558,ESCUELA BÁSICA HUMBERTO VALENZUELA GARCÍA,13106,ESTACION CENTRAL,2,1,"-33,471515190000000","-70,69187992000001",0,GRATUITO,516,18,43.0,12.0,28.666666666666668,MUNICIPAL_DAEM,GRATUITO,0,250.0,255.0,,
8561,ESCUELA REPUBLICA DE ALEMANIA,13101,SANTIAGO,2,1,"-33,431464130000000","-70,67549744999999",0,GRATUITO,339,10,30.0,11.3,33.9,MUNICIPAL_DAEM,GRATUITO,0,250.0,245.0,,
8562,CIUDAD SANTIAGO DE CHILE,13101,SANTIAGO,2,1,"-33,460927090000000","-70,64804214999999",0,GRATUITO,306,12,38.0,8.052631578947368,25.5,MUNICIPAL_DAEM,GRATUITO,0,260.0,241.0,,
8563,ESCUELA BASICA REPUBLICA DE MEXICO,13101,SANTIAGO,2,1,"-33,449571340000000","-70,63669304000000",0,GRATUITO,638,19,46.0,13.869565217391305,33.578947368421055,MUNICIPAL_DAEM,GRATUITO,0,257.0,241.0,,
8564,ESCUELA BASICA REINO DE NORUEGA,13126,QUINTA NORMAL,2,1,"-33,432274440000000","-70,68794874000000",0,GRATUITO,518,16,31.0,16.70967741935484,32.375,MUNICIPAL_DAEM,GRATUITO,0,286.0,273.0,,
8569,ESCUELA BASICA REPUBLICA DEL ECUADOR,13101,SANTIAGO,2,1,"-33,448969380000000","-70,67072408999999",0,GRATUITO,547,21,51.0,10.72549019607843,26.047619047619047,MUNICIPAL_DAEM,GRATUITO,0,268.0,240.0,,
8571,LICEO DR HUMBERTO MATURANA ROMESIN,13101,SANTIAGO,2,1,"-33,460100609999990","-70,64492294000000",0,GRATUITO,14,3,12.0,1.1666666666666667,4.666666666666667,MUNICIPAL_DAEM,GRATUITO,0,,,,
8572,ESCUELA BASICA CAMILO MORI,13108,INDEPENDENCIA,2,1,"-33,424567260000000","-70,66693364000000",0,GRATUITO,301,9,21.0,14.333333333333334,33.44444444444444,MUNICIPAL_DAEM,GRATUITO,0,273.0,259.0,,
8576,ESCUELA BASICA REYES CATOLICOS,13101,SANTIAGO,2,1,"-33,467957860000000","-70,62786296000000",0,GRATUITO,259,10,29.0,8.931034482758621,25.9,MUNICIPAL_DAEM,GRATUITO,0,278.0,243.0,,
8579,ESCUELA BASICA UNION LATINOAMERICANA,13106,ESTACION CENTRAL,2,1,"-33,463481430000000","-70,69173670000001",0,GRATUITO,349,10,27.0,12.925925925925926,34.9,MUNICIPAL_DAEM,GRATUITO,0,293.0,300.0,,
8581,ESCUELA BÁSICA F Nº 64,13101,SANTIAGO,2,1,"-33,466155350000000","-70,65276247000000",0,GRATUITO,297,10,35.0,8.485714285714286,29.7,MUNICIPAL_DAEM,GRATUITO,0,277.0,264.0,,
8585,ESC. CENTRO DE CAPACITACION LABORAL SANTIAGO,13101,SANTIAGO,2,1,"-33,454290000000000","-70,66036000000000",0,GRATUITO,71,7,18.0,3.9444444444444446,10.142857142857142,MUNICIPAL_DAEM,GRATUITO,0,,,,
8586,ESCUELA DIFERENCIAL JUAN SANDOVAL C,13101,SANTIAGO,2,1,"-33,470320000000000","-70,65161000000001",0,GRATUITO,250,32,46.0,5.434782608695652,7.8125,MUNICIPAL_DAEM,GRATUITO,0,,,,
8587,LICEO DE ADULTOS MUNICIPALIZADO LUIS GOMEZ CATALAN,13106,ESTACION CENTRAL,2,1,"-33,455536000000000","-70,69752000000000",0,GRATUITO,528,18,33.0,16.0,29.33333333333333,MUNICIPAL_DAEM,GRATUITO,0,,,,
8589,LICEO MIGUEL RAFAEL PRADO,13108,INDEPENDENCIA,3,2,"-33,421408080000000","-70,66238091000000",0,GRATUITO,1855,42,87.0,21.32183908045977,44.16666666666666,PARTICULAR_SUBV,GRATUITO,0,283.0,272.0,269.0,258.0
8592,LICEO JOSE MIGUEL INFANTE,13101,SANTIAGO,3,2,"-33,433221910000000","-70,66402874000001",0,$50.001 A $100.000,959,23,42.0,22.83333333333333,41.69565217391305,PARTICULAR_SUBV,$50.001 A $100.000,4,266.0,248.0,281.0,277.0
8598,COLEGIO ALTO PALENA,13101,SANTIAGO,3,2,"-33,445639380000000","-70,67614969000000",0,$50.001 A $100.000,406,11,23.0,17.652173913043477,36.90909090909091,PARTICULAR_SUBV,$50.001 A $100.000,4,,,248.0,262.0
8601,COLEGIO WUNMAN,13101,SANTIAGO,3,2,"-33,448680000000000","-70,63706000000001",0,$50.001 A $100.000,111,4,12.0,9.25,27.75,PARTICULAR_SUBV,$50.001 A $100.000,4,,,274.0,288.0
8603,CENTRO EDUCATIVO SALESIANOS ALAMEDA,13101,SANTIAGO,3,2,"-33,447045490000000","-70,66787974000000",0,$50.001 A $100.000,1757,44,99.0,17.747474747474747,39.93181818181818,PARTICULAR_SUBV,$50.001 A $100.000,4,,,245.0,291.0
8604,COLEGIO SANTA CRUZ,13101,SANTIAGO,3,2,"-33,463417470000000","-70,65124299000000",0,$50.001 A $100.000,976,26,58.0,16.82758620689655,37.53846153846154,PARTICULAR_SUBV,$50.001 A $100.000,4,286.0,268.0,273.0,294.0
8609,COLEGIO SAN IGNACIO,13101,SANTIAGO,4,3,"-33,447065000000000","-70,65616000000000",0,MAS DE $100.000,1484,44,102.0,14.549019607843135,33.72727272727273,PARTICULAR_PAGADO,MAS DE $100.000,5,311.0,299.0,291.0,328.0
8611,COLEGIO NUESTRA SENORA DE ANDACOLLO,13101,SANTIAGO,3,2,"-33,431892410000000","-70,66987309000000",0,$50.001 A $100.000,1131,26,60.0,18.85,43.5,PARTICULAR_SUBV,$50.001 A $100.000,4,289.0,273.0,257.0,303.0
8613,COLEGIO FRANCISCANO MARIA REINA,13106,ESTACION CENTRAL,3,2,"-33,455949540000000","-70,68375539000000",0,$50.001 A $100.000,448,12,25.0,17.92,37.333333333333336,PARTICULAR_SUBV,$50.001 A $100.000,4,285.0,252.0,275.0,257.0
8614,COLEGIO MARIA TERESA CANCINO AGUILAR,13127,RECOLETA,3,2,"-33,412368129999990","-70,63803656000000",0,$50.001 A $100.000,1079,28,79.0,13.658227848101266,38.535714285714285,PARTICULAR_SUBV,$50.001 A $100.000,4,270.0,243.0,268.0,258.0
8616,COLEGIO POLIVALENTE PLUS ULTRA,13108,INDEPENDENCIA,3,2,"-33,420780670000000","-70,65681068000001",0,GRATUITO,1023,27,42.0,24.357142857142858,37.888888888888886,PARTICULAR_SUBV,GRATUITO,0,,,279.0,276.0
8617,LICEO POLIT. SARA BLINDER DARGOLTZ,13101,SANTIAGO,3,2,"-33,467809340000000","-70,64853307000000",0,GRATUITO,750,20,47.0,15.95744680851064,37.5,PARTICULAR_SUBV,GRATUITO,0,,,254.0,235.0
8620,COLEGIO SAN SEBASTIAN,13101,SANTIAGO,3,2,"-33,437792539999990","-70,66559409000000",0,$25.001 A $50.000,443,13,25.0,17.72,34.07692307692308,PARTICULAR_SUBV,$25.001 A $50.000,3,297.0,250.0,252.0,245.0
8623,ESC. BAS. PART. TERESIANA DE SAN GABRIEL,13108,INDEPENDENCIA,3,2,"-33,425540210000000","-70,65523248000000",0,GRATUITO,330,8,20.0,16.5,41.25,PARTICULAR_SUBV,GRATUITO,0,265.0,245.0,,
8625,CENTRO EDUC. CASA TALLERES SAN VICENTE DE PAU,13101,SANTIAGO,3,2,"-33,456697640000000","-70,67726879999999",0,GRATUITO,968,25,47.0,20.595744680851062,38.72,PARTICULAR_SUBV,GRATUITO,0,273.0,257.0,229.0,239.0
8627,COLEGIO SANTA MARIA DE SANTIAGO,13101,SANTIAGO,3,2,"-33,452350060000000","-70,64425534000000",0,$50.001 A $100.000,1975,56,99.0,19.949494949494948,35.267857142857146,PARTICULAR_SUBV,$50.001 A $100.000,4,295.0,278.0,264.0,267.0
8629,COLEGIO POLITÉCNICO SANTA ANA,13126,QUINTA NORMAL,3,2,"-33,437398880000000","-70,68771172000000",0,GRATUITO,1048,26,59.0,17.76271186440678,40.30769230769231,PARTICULAR_SUBV,GRATUITO,0,292.0,245.0,256.0,272.0
8631,COLEGIO ECHAURREN,13106,ESTACION CENTRAL,3,2,"-33,475075720000000","-70,71677679000000",0,GRATUITO,748,25,51.0,14.666666666666666,29.92,PARTICULAR_SUBV,GRATUITO,0,277.0,244.0,241.0,218.0
8632,LICEO POLIVALENTE SANTA JULIANA,13127,RECOLETA,3,2,"-33,407083280000000","-70,64873606000000",0,GRATUITO,1560,41,76.0,20.526315789473685,38.04878048780488,PARTICULAR_SUBV,GRATUITO,0,266.0,243.0,239.0,249.0
8634,LICEO RUIZ TAGLE,13106,ESTACION CENTRAL,3,2,"-33,451591219999990","-70,68899863000000",0,$50.001 A $100.000,999,28,61.0,16.37704918032787,35.67857142857143,PARTICULAR_SUBV,$50.001 A $100.000,4,282.0,306.0,280.0,286.0
8636,LICEO LEONARDO MURIALDO,13127,RECOLETA,3,2,"-33,430215730000000","-70,64040626000001",0,$25.001 A $50.000,1609,36,78.0,20.628205128205128,44.69444444444444,PARTICULAR_SUBV,$25.001 A $50.000,3,273.0,253.0,270.0,265.0
8639,LICEO Y COLEGIO NUEVO HISPANO CHILENO,13101,SANTIAGO,3,2,"-33,440665660000000","-70,67098244000000",0,$50.001 A $100.000,445,16,31.0,14.35483870967742,27.8125,PARTICULAR_SUBV,$50.001 A $100.000,4,296.0,274.0,258.0,281.0
8643,INSTITUTO COMERCIAL BLAS CANAS,13101,SANTIAGO,3,2,"-33,445239160000000","-70,64268438000001",0,GRATUITO,841,24,42.0,20.02380952380953,35.041666666666664,PARTICULAR_SUBV,GRATUITO,0,,,233.0,222.0
8644,COLEGIO INDUSTRIAL VASCO NUNEZ DE BALBOA,13101,SANTIAGO,3,2,"-33,424681829999990","-70,65536483000000",0,$25.001 A $50.000,275,10,17.0,16.176470588235293,27.5,PARTICULAR_SUBV,$25.001 A $50.000,3,,,238.0,208.0
8645,LICEO JOSE DOMINGO CANAS,13125,QUILICURA,3,2,"-33,365787780000000","-70,74235686000000",0,GRATUITO,1864,43,83.0,22.457831325301203,43.34883720930232,PARTICULAR_SUBV,GRATUITO,0,298.0,295.0,264.0,265.0
8649,COLEGIO LORENZO SAZIE,13101,SANTIAGO,3,2,"-33,449611419999990","-70,66456751000000",0,GRATUITO,552,14,44.0,12.545454545454543,39.42857142857143,PARTICULAR_SUBV,GRATUITO,0,285.0,295.0,281.0,283.0
8650,COLEGIO SAN BENILDO,13127,RECOLETA,3,2,"-33,406651130000000","-70,65270934000000",0,GRATUITO,351,8,24.0,14.625,43.875,PARTICULAR_SUBV,GRATUITO,0,,,245.0,253.0
8652,COLEGIO SAN ANTONIO,13101,SANTIAGO,3,2,"-33,437798180000000","-70,66923128000001",0,$50.001 A $100.000,995,25,52.0,19.134615384615383,39.8,PARTICULAR_SUBV,$50.001 A $100.000,4,294.0,266.0,276.0,253.0
8654,COLEGIO POLITECNICO AVDA. INDEPENDENCIA,13108,INDEPENDENCIA,3,2,"-33,409112000000000","-70,65884264000000",0,$10.001 A $25.000,408,11,15.0,27.2,37.09090909090909,PARTICULAR_SUBV,$10.001 A $25.000,2,,,236.0,219.0
8657,COLEGIO SAN ALBERTO,13106,ESTACION CENTRAL,3,2,"-33,470746509999990","-70,69185830000001",0,GRATUITO,961,26,63.0,15.253968253968257,36.96153846153846,PARTICULAR_SUBV,GRATUITO,0,259.0,253.0,211.0,243.0
8658,COLEGIO FRANCISCO ARRIARAN,13101,SANTIAGO,3,2,"-33,459190870000000","-70,64887167000001",0,GRATUITO,1117,26,61.0,18.311475409836067,42.96153846153846,PARTICULAR_SUBV,GRATUITO,0,291.0,268.0,297.0,306.0
8659,ESCUELA PARTICULAR FRANCISCO ANDRES OLEA,13101,SANTIAGO,3,2,"-33,458722780000000","-70,64651169000000",0,GRATUITO,691,16,46.0,15.021739130434783,43.1875,PARTICULAR_SUBV,GRATUITO,0,299.0,277.0,,
8661,ESCUELA PARTICULAR GUILLERMO MATTA,13101,SANTIAGO,3,2,"-33,461630139999990","-70,64299255000000",0,GRATUITO,857,20,55.0,15.581818181818182,42.85,PARTICULAR_SUBV,GRATUITO,0,299.0,286.0,,
8663,INSTITUTO HERMANOS MATTE,13101,SANTIAGO,3,2,"-33,475348060000000","-70,64954647000000",0,GRATUITO,1386,32,79.0,17.544303797468356,43.3125,PARTICULAR_SUBV,GRATUITO,0,296.0,289.0,267.0,278.0
8665,ESCUELA BASICA N°43 PATRONATO SAN ANTONIO,13101,SANTIAGO,3,2,"-33,464779610000000","-70,63813021000000",0,GRATUITO,368,10,23.0,16.0,36.8,PARTICULAR_SUBV,GRATUITO,0,287.0,260.0,,
8666,COLEGIO SANTA ISABEL,13101,SANTIAGO,3,2,"-33,467833090000000","-70,63800234999999",0,GRATUITO,543,14,27.0,20.11111111111111,38.785714285714285,PARTICULAR_SUBV,GRATUITO,0,289.0,286.0,246.0,245.0
8671,COLEGIO BICENTENARIO VICTORIA PRIETO,13101,SANTIAGO,3,2,"-33,445120410000000","-70,67534908000000",0,GRATUITO,537,14,50.0,10.74,38.35714285714285,PARTICULAR_SUBV,GRATUITO,0,274.0,278.0,254.0,280.0
8674,ESCUELA PARTICULAR SAN LAZARO,13101,SANTIAGO,3,2,"-33,454814690000000","-70,66141001000000",0,GRATUITO,421,11,21.0,20.047619047619047,38.27272727272727,PARTICULAR_SUBV,GRATUITO,0,274.0,260.0,,
